OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
3208,0078091,1004,110010078091004,110010078091004,21810,0,127,126,0,125,1,0,0,0,1,1,0,0,0,0,125,1,0,0,0,1,1,0,0,102,0,100,1,0,0,0,1,1,0,0,0,0,100,1,0,0,0,1,1,0,0,64,57,7,5.38875862,675.1692790869,21807.5324342812,0.00841994
3209,0078091,1005,110010078091005,110010078091005,22614,0,160,155,4,151,0,0,0,0,5,0,0,0,6,4,145,0,0,0,0,5,0,0,0,121,4,114,0,0,0,0,3,0,0,0,4,4,110,0,0,0,0,3,0,0,0,71,60,11,5.58751717,691.722430113069,22611.8797316543,0.0087305
3210,0073041,1011,110010073041011,110010073041011,0,4988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23249437,1045.35623602372,4987.72774022074,0.00192577
3211,0073041,1012,110010073041012,110010073041012,450302,14,300,300,5,291,0,3,1,0,0,0,0,0,2,5,289,0,3,1,0,0,0,0,0,288,5,279,0,3,1,0,0,0,0,0,1,5,278,0,3,1,0,0,0,0,0,57,55,2,111.26458999,3939.20071323745,450271.820608401,0.17385092
3212,0073041,1013,110010073041013,110010073041013,16082,0,151,151,2,147,0,0,0,2,0,0,0,0,0,2,147,0,0,0,2,0,0,0,0,105,2,101,0,0,0,2,0,0,0,0,0,2,101,0,0,0,2,0,0,0,0,43,43,0,3.97362074,535.870059972734,16080.672606769,0.00620878
3213,0073042,2000,110010073042000,110010073042000,19697,0,130,130,3,126,0,1,0,0,0,0,0,0,4,3,122,0,1,0,0,0,0,0,0,111,3,107,0,1,0,0,0,0,0,0,4,3,103,0,1,0,0,0,0,0,0,72,58,14,4.99357886,674.07848179665,20208.2966759711,0.00780247
3214,0073042,2001,110010073042001,110010073042001,6953,0,31,30,0,30,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,1,0,0,0,26,0,25,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,1,0,0,0,18,17,1,1.71789915,335.540720838008,6952.09122600518,0.00268422
3215,0073042,2002,110010073042002,110010073042002,14753,0,50,49,6,43,0,0,0,0,1,1,0,0,0,6,43,0,0,0,0,1,1,0,0,42,6,35,0,0,0,0,1,1,0,0,0,6,35,0,0,0,0,1,1,0,0,39,24,15,3.64507451,501.870001373212,14751.0931945142,0.00569543
3216,0073042,2003,110010073042003,110010073042003,15665,0,100,100,0,93,6,0,0,1,0,0,0,0,2,0,92,6,0,0,0,0,0,0,0,71,0,68,2,0,0,1,0,0,0,0,1,0,68,2,0,0,0,0,0,0,0,42,38,4,3.87053396,522.384724385538,15663.4952282184,0.00604771
3217,0073042,2004,110010073042004,110010073042004,23563,0,157,157,3,153,1,0,0,0,0,0,0,0,2,2,152,1,0,0,0,0,0,0,0,137,3,133,1,0,0,0,0,0,0,0,2,2,132,1,0,0,0,0,0,0,0,58,50,8,5.82198303,620.083492154226,23560.7294256686,0.00909685
