OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
1,0005011,1004,110010005011004,110010005011004,385019,3407,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,92.90825947,3646.78012576715,375986.38657526,0.14516916
2,0005011,1005,110010005011005,110010005011005,17104,0,319,313,282,6,0,24,0,1,1,0,5,0,27,256,6,0,24,0,0,1,0,5,0,303,269,5,0,22,0,1,1,0,5,0,22,248,5,0,22,0,0,1,0,5,0,172,160,12,4.22602654,600.802420482818,17102.1226245421,0.00660317
3,0005011,1006,110010005011006,110010005011006,13667,0,422,407,358,20,0,29,0,0,6,3,10,0,27,332,20,0,28,0,0,6,3,10,0,415,356,15,0,29,0,0,6,3,10,0,27,330,15,0,28,0,0,6,3,10,0,330,313,17,3.37694114,567.784015602187,13665.9959598757,0.00527647
4,0005011,1007,110010005011007,110010005011007,25281,0,215,204,181,3,0,16,0,4,2,0,9,0,11,174,3,0,16,0,0,2,0,9,0,183,162,2,0,12,0,4,0,0,3,0,11,155,2,0,12,0,0,0,0,3,0,89,87,2,6.2465494,784.319403058902,25278.8885499485,0.00976023
5,0005011,1008,110010005011008,110010005011008,1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45035641,233.987534022561,1822.52771245948,0.00070368
6,0005011,1009,110010005011009,110010005011009,10296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54391236,523.980993647737,10294.848087677,0.00397486
7,0005011,1010,110010005011010,110010005011010,14798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65630529,511.54127551683,14796.5425502952,0.00571298
8,0005011,1011,110010005011011,110010005011011,22856,0,103,101,91,5,2,3,0,0,1,0,1,0,3,88,5,2,3,0,0,1,0,1,0,98,87,5,2,3,0,0,0,0,1,0,3,84,5,2,3,0,0,0,0,1,0,53,50,3,5.64727404,689.758304431806,22853.7072285546,0.00882387
9,0005011,1012,110010005011012,110010005011012,29905,0,672,657,543,51,5,39,1,18,4,6,8,0,50,517,49,1,39,1,3,2,4,8,0,630,517,49,3,33,1,14,4,6,6,0,41,495,47,1,33,1,2,2,4,6,0,342,321,21,7.38896984,856.702483667852,29902.1000496888,0.01154527
10,0005011,1013,110010005011013,110010005011013,9918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45065536,590.215836400855,9917.45036615069,0.00382915
11,0005011,1014,110010005011014,110010005011014,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18464285,132.783836647243,747.223089147852,0.0002885
12,0005012,2000,110010005012000,110010005012000,123029,0,1559,1499,1315,38,0,137,0,9,18,9,31,3,112,1239,38,0,135,0,1,6,2,27,3,1482,1257,37,0,132,0,8,14,8,22,3,96,1192,37,0,130,0,0,4,2,20,3,1136,1041,95,30.39801156,1455.9770277653,123016.388306849,0.04749689
13,0003003,3006,110010003003006,110010003003006,98990,1948,251,244,216,7,0,19,0,2,0,0,2,0,27,191,7,0,19,0,0,0,0,2,0,202,181,4,0,14,0,2,0,0,1,0,21,162,4,0,14,0,0,0,0,1,0,119,103,18,24.93980432,1907.30812263567,100927.807295497,0.03896844
14,0003003,3007,110010003003007,110010003003007,12878,0,24,24,24,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,14,12,2,3.1819691,597.445970973992,12876.9720740093,0.00497183
15,0003003,3008,110010003003008,110010003003008,4085,386,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1.10466352,258.903385724251,4470.41465467485,0.00172604
16,0003003,3009,110010003003009,110010003003009,24772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12067237,649.166608237573,24769.4822734101,0.00956355
17,0003003,3010,110010003003010,110010003003010,12377,0,108,107,94,0,1,12,0,0,1,0,0,0,2,93,0,1,11,0,0,1,0,0,0,98,84,0,1,12,0,0,1,0,0,0,2,83,0,1,11,0,0,1,0,0,0,37,35,2,3.05817294,445.535704984425,12375.986785891,0.0047784
18,0003003,3011,110010003003011,110010003003011,12376,0,130,128,117,6,0,5,0,0,1,1,1,0,10,107,6,0,5,0,0,1,1,1,0,123,110,6,0,5,0,0,1,1,1,0,9,101,6,0,5,0,0,1,1,1,0,41,38,3,3.05778627,447.503140452195,12374.4220184759,0.00477779
19,0003003,3012,110010003003012,110010003003012,12345,0,121,111,97,4,0,7,0,3,4,0,6,0,17,83,4,0,7,0,0,4,0,6,0,120,96,4,0,7,0,3,4,0,6,0,17,82,4,0,7,0,0,4,0,6,0,37,35,2,3.05024017,446.67363586281,12343.8840170855,0.004766
20,0003003,3013,110010003003013,110010003003013,13379,0,118,116,105,2,0,7,0,2,0,0,2,0,11,97,1,0,7,0,0,0,0,2,0,110,97,2,0,7,0,2,0,0,2,0,7,93,1,0,7,0,0,0,0,2,0,38,34,4,3.30562977,462.966937851675,13377.4090656215,0.00516505
21,0003004,4000,110010003004000,110010003004000,21954,0,138,136,129,4,1,0,0,2,0,0,2,0,10,121,4,0,0,0,1,0,0,2,0,120,111,4,1,0,0,2,0,0,2,0,9,104,4,0,0,0,1,0,0,2,0,54,51,3,5.4244414,824.679551986746,21951.9355232366,0.00847569
22,0003004,4001,110010003004001,110010003004001,20186,0,218,212,199,4,0,9,0,0,1,1,3,0,9,191,4,0,9,0,0,1,1,3,0,184,168,4,0,9,0,0,0,1,1,0,5,164,4,0,9,0,0,0,1,1,0,74,73,1,4.98746776,619.733360390749,20183.565942126,0.00779292
23,0003004,4002,110010003004002,110010003004002,15484,0,172,167,164,0,0,1,0,2,1,0,1,0,9,160,0,0,1,0,0,1,0,1,0,153,145,0,0,1,0,2,1,0,1,0,9,141,0,0,1,0,0,1,0,1,0,63,60,3,3.82569278,562.958008044782,15482.0293838071,0.00597764
24,0003004,4003,110010003004003,110010003004003,8460,0,105,104,102,0,0,2,0,0,0,0,1,0,2,100,0,0,2,0,0,0,0,1,0,88,85,0,0,2,0,0,0,0,1,0,2,83,0,0,2,0,0,0,0,1,0,38,38,0,2.09037171,397.375000045477,8459.43418767415,0.00326621
25,0003004,4004,110010003004004,110010003004004,10272,0,97,93,75,1,0,16,0,1,0,0,3,2,6,71,1,0,16,0,0,0,0,3,2,84,66,1,0,13,0,1,0,0,2,2,5,63,1,0,13,0,0,0,0,2,2,43,41,2,2.53812549,435.836403492732,10271.4294199982,0.00396582
26,0003004,4005,110010003004005,110010003004005,17732,0,166,166,159,2,0,4,0,1,0,0,0,0,8,152,2,0,4,0,0,0,0,0,0,141,135,2,0,3,0,1,0,0,0,0,6,130,2,0,3,0,0,0,0,0,0,67,65,2,4.38135973,620.936169006199,17730.7337532979,0.00684587
27,0003004,4006,110010003004006,110010003004006,12145,0,141,135,128,0,0,7,0,0,0,0,3,3,2,126,0,0,7,0,0,0,0,3,3,117,108,0,0,7,0,0,0,0,1,1,2,106,0,0,7,0,0,0,0,1,1,55,54,1,3.00091662,505.33449934127,12144.2786898672,0.00468893
28,0003004,4007,110010003004007,110010003004007,14498,0,137,137,123,3,0,6,0,5,0,0,0,0,11,117,3,0,6,0,0,0,0,0,0,109,100,1,0,5,0,3,0,0,0,0,7,96,1,0,5,0,0,0,0,0,0,51,48,3,3.58217228,523.213493961271,14496.5368960094,0.00559714
29,0003004,4008,110010003004008,110010003004008,12912,0,120,117,113,2,1,1,0,0,0,0,3,0,3,110,2,1,1,0,0,0,0,3,0,101,95,2,0,1,0,0,0,0,3,0,3,92,2,0,1,0,0,0,0,3,0,50,47,3,3.19024003,467.197238560994,12910.4433345833,0.00498475
30,0003004,4009,110010003004009,110010003004009,14807,0,137,133,120,2,0,11,0,0,1,1,3,0,4,116,2,0,11,0,0,1,1,3,0,116,101,2,0,11,0,0,1,1,1,0,4,97,2,0,11,0,0,1,1,1,0,52,51,1,3.65842123,511.76607995837,14805.1054467063,0.00571628
31,0003004,4010,110010003004010,110010003004010,12491,0,135,131,123,1,0,5,0,2,2,1,2,0,5,120,1,0,5,0,0,2,1,2,0,120,111,1,0,3,0,2,2,1,1,0,4,109,1,0,3,0,0,2,1,1,0,54,54,0,3.08621082,484.015356960712,12489.4520805919,0.0048222
32,0003004,4011,110010003004011,110010003004011,2824,0,8,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,4,0,0.69782876,218.891783424018,2824.01279510832,0.00109036
33,0004001,1000,110010004001000,110010004001000,255797,0,6,6,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,63.20230746,1982.55251593399,255770.66387222,0.09875361
34,0004001,1001,110010004001001,110010004001001,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09947747,97.5960934210811,402.571044717754,0.00015543
35,0004001,1002,110010004001002,110010004001002,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55399918,228.477518806743,2241.95513117059,0.00086562
36,0004001,1003,110010004001003,110010004001003,12311,0,21,21,21,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,10,9,1,3.04185073,454.821968408052,12309.9331535993,0.00475289
37,0004001,1004,110010004001004,110010004001004,15288,0,31,31,31,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,13,11,2,3.77737157,503.579645525494,15286.4803845464,0.00590214
38,0004001,1005,110010004001005,110010004001005,7521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85831292,385.140603136947,7520.32557961392,0.00290361
39,0004001,1006,110010004001006,110010004001006,14559,0,49,49,49,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,16,15,1,3.5971878,493.552619604103,14557.3025397334,0.00562061
40,0004001,1007,110010004001007,110010004001007,14568,0,38,37,36,1,0,0,0,0,0,0,1,0,1,35,1,0,0,0,0,0,0,1,0,29,27,1,0,0,0,0,0,0,1,0,1,26,1,0,0,0,0,0,0,1,0,16,14,2,3.59949933,494.37727269376,14566.6569763711,0.00562422
41,0004001,1008,110010004001008,110010004001008,25290,0,41,41,34,7,0,0,0,0,0,0,0,0,3,31,7,0,0,0,0,0,0,0,0,31,26,5,0,0,0,0,0,0,0,0,3,23,5,0,0,0,0,0,0,0,0,12,12,0,6.24875111,636.67320850569,25287.7985582476,0.00976367
42,0004001,1009,110010004001009,110010004001009,3809,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.94105923,297.672162278231,3808.33159172816,0.00147041
43,0004001,1010,110010004001010,110010004001010,5104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26119725,336.325020822039,5103.88420944079,0.00197062
44,0004001,1011,110010004001011,110010004001011,14755,0,14,14,13,0,0,1,0,0,0,0,0,0,2,11,0,0,1,0,0,0,0,0,0,13,12,0,0,1,0,0,0,0,0,0,2,10,0,0,1,0,0,0,0,0,0,8,6,2,3.64576498,570.877188712488,14753.8874270473,0.00569651
45,0004001,1012,110010004001012,110010004001012,14563,0,41,41,37,0,0,1,0,3,0,0,0,0,5,32,0,0,1,0,3,0,0,0,0,34,30,0,0,1,0,3,0,0,0,0,3,27,0,0,1,0,3,0,0,0,0,15,15,0,3.5983575,508.006721377982,14562.036148511,0.00562243
46,0004001,1013,110010004001013,110010004001013,16109,0,57,56,54,0,0,2,0,0,0,0,1,1,6,48,0,0,2,0,0,0,0,1,1,39,36,0,0,2,0,0,0,0,1,1,1,35,0,0,2,0,0,0,0,1,1,18,17,1,3.98021517,524.413908353465,16107.3593053007,0.00621909
47,0004001,1014,110010004001014,110010004001014,16775,0,48,48,42,0,0,6,0,0,0,0,0,0,2,40,0,0,6,0,0,0,0,0,0,44,38,0,0,6,0,0,0,0,0,0,2,36,0,0,6,0,0,0,0,0,0,16,15,1,4.14485043,533.869009462837,16773.6145708217,0.00647633
48,0004001,1015,110010004001015,110010004001015,12160,0,43,42,42,0,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,0,1,0,33,32,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,1,0,12,12,0,3.00480939,442.347530825917,12160.0321872607,0.00469501
49,0004001,1016,110010004001016,110010004001016,11679,0,33,33,32,1,0,0,0,0,0,0,0,0,5,27,1,0,0,0,0,0,0,0,0,26,25,1,0,0,0,0,0,0,0,0,4,21,1,0,0,0,0,0,0,0,0,12,12,0,2.88574444,433.957475335467,11678.1934022097,0.00450898
50,0004001,1017,110010004001017,110010004001017,27695,0,43,43,40,0,0,3,0,0,0,0,0,0,2,38,0,0,3,0,0,0,0,0,0,34,31,0,0,3,0,0,0,0,0,0,2,29,0,0,3,0,0,0,0,0,0,17,16,1,6.84293301,793.227831066444,27692.3673836011,0.01069208
51,0004001,1018,110010004001018,110010004001018,13898,0,19,19,13,0,0,6,0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,13,7,0,0,6,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,5,5,0,3.43383968,500.717080413553,13896.2561751324,0.00536537
52,0004001,1019,110010004001019,110010004001019,19429,0,30,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,13,13,0,4.80051365,598.452893406932,19426.9895025231,0.0075008
53,0004001,1020,110010004001020,110010004001020,23176,0,111,110,88,11,1,6,0,4,0,0,1,0,10,80,11,0,6,0,3,0,0,1,0,96,78,8,1,6,0,3,0,0,0,0,10,70,8,0,6,0,2,0,0,0,0,57,53,4,5.72633098,618.549942351954,23173.6393043806,0.00894739
54,0004001,1021,110010004001021,110010004001021,9028,0,28,28,28,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,15,14,1,2.23073227,421.24437677266,9027.4532023806,0.00348552
55,0004001,1022,110010004001022,110010004001022,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16041084,113.644913670266,649.159621644572,0.00025064
56,0004002,2000,110010004002000,110010004002000,10539,0,17,17,15,0,0,2,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,12,10,0,0,2,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,6,6,0,2.60401334,418.419374501766,10538.0680940204,0.00406877
57,0004002,2001,110010004002001,110010004002001,53570,0,39,39,36,0,0,1,0,2,0,0,0,0,4,34,0,0,1,0,0,0,0,0,0,31,28,0,0,1,0,2,0,0,0,0,4,26,0,0,1,0,0,0,0,0,0,14,14,0,13.23622582,1182.29921252226,53565.1054737586,0.0206816
58,0004002,2002,110010004002002,110010004002002,17184,0,19,19,17,0,0,2,0,0,0,0,0,0,3,14,0,0,2,0,0,0,0,0,0,18,16,0,0,2,0,0,0,0,0,0,2,14,0,0,2,0,0,0,0,0,0,5,5,0,4.24593175,575.497406401886,17182.6761808352,0.00663427
59,0004002,2003,110010004002003,110010004002003,17709,0,21,19,17,0,1,1,0,0,0,0,2,0,0,17,0,1,1,0,0,0,0,2,0,16,14,0,1,1,0,0,0,0,0,0,0,14,0,1,1,0,0,0,0,0,0,10,9,1,4.37543362,519.554826774223,17706.7516314689,0.00683662
60,0004002,2004,110010004002004,110010004002004,55987,0,53,49,45,0,0,3,0,1,1,0,2,0,9,38,0,0,3,0,0,1,0,2,0,41,36,0,0,3,0,0,1,0,0,0,8,29,0,0,3,0,0,1,0,0,0,22,21,1,13.83343485,1408.35094186802,55981.924669096,0.02161474
61,0004002,2005,110010004002005,110010004002005,20654,0,35,32,31,1,0,0,0,0,1,0,0,0,2,31,1,0,0,0,0,1,0,0,0,25,23,1,0,0,0,0,1,0,0,0,0,23,1,0,0,0,0,1,0,0,0,13,12,1,5.10320704,620.434469014333,20651.9462031741,0.00797376
62,0004002,2006,110010004002006,110010004002006,17584,0,37,37,36,0,0,1,0,0,0,0,0,0,0,36,0,0,1,0,0,0,0,0,0,33,32,0,0,1,0,0,0,0,0,0,0,32,0,0,1,0,0,0,0,0,0,11,10,1,4.34469533,579.406895418167,17582.35819544,0.00678859
63,0004002,2007,110010004002007,110010004002007,23403,0,32,30,29,0,0,1,0,0,2,0,0,0,11,20,0,0,1,0,0,0,0,0,0,25,23,0,0,1,0,0,1,0,0,0,8,16,0,0,1,0,0,0,0,0,0,11,11,0,5.7824017,609.831213984713,23400.5494408112,0.009035
64,0004002,2008,110010004002008,110010004002008,23788,0,40,40,40,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,12,12,0,5.87762835,743.679291403809,23785.9180457042,0.00918379
65,0004002,2009,110010004002009,110010004002009,133259,69,5,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,1,32.94290321,2288.4828263161,133315.199432134,0.05147329
66,0004002,2010,110010004002010,110010004002010,46767,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,12.56544348,964.14758273384,50850.5456673962,0.01963351
67,0004002,2011,110010004002011,110010004002011,16312,0,19,19,11,0,0,8,0,0,0,0,0,0,1,10,0,0,8,0,0,0,0,0,0,15,7,0,0,8,0,0,0,0,0,0,1,6,0,0,8,0,0,0,0,0,0,6,5,1,4.03041968,534.00199554915,16310.5297755831,0.00629753
68,0004002,2012,110010004002012,110010004002012,22366,0,26,22,8,0,0,14,0,0,0,0,0,0,2,6,0,0,14,0,0,0,0,0,0,19,8,0,0,11,0,0,0,0,0,0,2,6,0,0,11,0,0,0,0,0,0,8,5,0,5.52618642,645.154649100251,22363.6830095481,0.00863467
69,0004002,2013,110010004002013,110010004002013,5265,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1.30096708,494.859683679947,5264.82697710134,0.00203276
70,0004002,2014,110010004002014,110010004002014,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7348964,337.197755452102,2974.02019980623,0.00114828
71,0004002,2015,110010004002015,110010004002015,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29803065,209.870726571752,1206.08725595443,0.00046567
72,0004002,2016,110010004002016,110010004002016,78355,0,12,12,9,3,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,7,5,2,19.02091663,1310.22433661973,76974.9186203769,0.02972018
73,0004002,2017,110010004002017,110010004002017,45474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88939385,1051.30370351659,48114.6698668686,0.01857718
74,0004002,2018,110010004002018,110010004002018,11089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57906112,420.175740914043,6390.23361766122,0.00246728
75,0004002,2019,110010004002019,110010004002019,121352,0,4,4,3,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,9,2,7,25.70804208,1471.66875790568,104036.755203876,0.04016882
76,0004002,2020,110010004002020,110010004002020,29542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49661491,819.311296655522,34384.5806211503,0.01327596
77,0004002,2021,110010004002021,110010004002021,1103,0,3,5,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,2,0,0.27251846,200.810295875287,1102.84307597979,0.00042581
78,0004002,2022,110010004002022,110010004002022,4678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15587232,482.01805584656,4677.6493084916,0.00180605
79,0004002,2023,110010004002023,110010004002023,28655,0,23,18,18,0,0,0,0,0,2,2,3,0,0,18,0,0,0,0,0,2,2,3,0,14,10,0,0,0,0,0,1,1,3,0,0,10,0,0,0,0,0,1,1,3,0,7,6,1,7.08008672,999.407202385069,28652.0944142013,0.01106264
80,0004002,2024,110010004002024,110010004002024,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27560163,202.829199273071,1115.3202332047,0.00043063
81,0004002,2025,110010004002025,110010004002025,35055,0,47,47,29,5,0,3,0,10,0,0,0,0,8,26,4,0,3,0,6,0,0,0,0,40,25,3,0,3,0,9,0,0,0,0,8,22,2,0,3,0,5,0,0,0,0,16,16,0,8.66149594,1084.32917170373,35051.8304708217,0.01353359
82,0004002,2026,110010004002026,110010004002026,20846,0,62,61,57,0,0,4,0,0,0,0,1,0,4,53,0,0,4,0,0,0,0,1,0,50,45,0,0,4,0,0,0,0,1,0,3,42,0,0,4,0,0,0,0,1,0,33,25,8,5.15068165,682.090571964629,20844.069104822,0.00804794
83,0004002,2027,110010004002027,110010004002027,25633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33335715,668.7195431489,25630.1870536251,0.00989587
84,0004002,2028,110010004002028,110010004002028,7508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.85516756,569.400390491395,7507.59673506753,0.0028987
85,0004002,2029,110010004002029,110010004002029,55986,0,305,299,240,16,0,37,0,6,3,0,3,0,27,220,16,0,37,0,0,2,0,3,0,297,232,16,0,37,0,6,3,0,3,0,26,213,16,0,37,0,0,2,0,3,0,236,225,11,13.83304917,1169.76277248945,55980.3638777722,0.02161414
86,0004002,2030,110010004002030,110010004002030,60949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.63363234,1237.25160849519,71360.7782831653,0.02755255
87,0005011,1000,110010005011000,110010005011000,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5540583,226.232023240641,2242.19440531732,0.00086572
88,0005011,1001,110010005011001,110010005011001,3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79928753,371.942473942186,3234.6018697285,0.00124889
89,0005011,1002,110010005011002,110010005011002,85332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8544749,2654.3644394419,96535.6349682464,0.03727262
90,0005011,1003,110010005011003,110010005011003,2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00174909,275.985253294842,4053.93474126816,0.00156523
91,0001001,1008,110010001001008,110010001001008,20619,0,50,50,49,0,0,1,0,0,0,0,0,0,4,45,0,0,1,0,0,0,0,0,0,38,37,0,0,1,0,0,0,0,0,0,4,33,0,0,1,0,0,0,0,0,0,25,24,1,5.09460817,629.925649584761,20617.1477753109,0.00796033
